percent,level,tax_id,name,domain
0.0484,D,2,    Bacteria,Bacteria
0.0455,P,1224,      Proteobacteria,Bacteria
0.0453,C,1236,        Gammaproteobacteria,Bacteria
0.0444,O,91347,          Enterobacterales,Bacteria
0.044000000000000004,F,543,            Enterobacteriaceae,Bacteria
0.0335,G,561,              Escherichia,Bacteria
0.0335,S,562,                Escherichia coli,Bacteria
0.0104,F1,2890311,              Klebsiella/Raoultella group,Bacteria
0.0104,G,570,                Klebsiella,Bacteria
0.0104,S,573,                  Klebsiella pneumoniae,Bacteria
0.0004,F,1903411,            Yersiniaceae,Bacteria
0.0004,G,613,              Serratia,Bacteria
0.0004,S,47917,                Serratia fonticola,Bacteria
0.0006,O,135625,          Pasteurellales,Bacteria
0.0006,F,712,            Pasteurellaceae,Bacteria
0.0006,G,292486,              Avibacterium,Bacteria
0.0006,S,728,                Avibacterium paragallinarum,Bacteria
0.0003,O,118969,          Legionellales,Bacteria
0.0003,F,118968,            Coxiellaceae,Bacteria
0.0003,G,59195,              Rickettsiella,Bacteria
0.0003,S,2856608,                Rickettsiella endosymbiont of Dermanyssus gallinae,Bacteria
0.0002,C,28211,        Alphaproteobacteria,Bacteria
0.0002,O,204455,          Rhodobacterales,Bacteria
0.0002,F,31989,            Rhodobacteraceae,Bacteria
0.0002,G,1653176,              Cereibacter,Bacteria
0.0002,S,1063,                Cereibacter sphaeroides,Bacteria
0.0029,D1,1783272,      Terrabacteria group,Bacteria
0.0027,P,201174,        Actinobacteria,Bacteria
0.0027,C,1760,          Actinomycetia,Bacteria
0.0014000000000000002,O,85011,            Streptomycetales,Bacteria
0.0014000000000000002,F,2062,              Streptomycetaceae,Bacteria
0.0014000000000000002,G,1883,                Streptomyces,Bacteria
0.001,S,54571,                  Streptomyces venezuelae,Bacteria
0.0004,G1,2839105,                  Streptomyces violaceusniger group,Bacteria
0.0004,S,92644,                    Streptomyces malaysiensis,Bacteria
0.0013,O,85006,            Micrococcales,Bacteria
0.0013,F,1331736,              Ruaniaceae,Bacteria
0.0013,G,626119,                Ruania,Bacteria
0.0013,S,2603206,                  Ruania zhangjianzhongii,Bacteria
0.0002,P,1239,        Firmicutes,Bacteria
0.0002,C,91061,          Bacilli,Bacteria
0.0002,O,1385,            Bacillales,Bacteria
0.0002,F,90964,              Staphylococcaceae,Bacteria
0.0002,G,227979,                Jeotgalicoccus,Bacteria
0.0002,G1,2630462,                  unclassified Jeotgalicoccus,Bacteria
0.0002,S,946435,                    Jeotgalicoccus sp. ATCC 8456,Bacteria
