  1.14	1214	0	F	10508	              Adenoviridae
  1.14	1214	0	G	10509	                Mastadenovirus
  1.14	1214	1198	S	129951	                  Human mastadenovirus C
  0.01	15	15	S1	28285	                    Human adenovirus 5
  0.00	1	1	S1	10533	                    Human adenovirus 1
  0.10	107	0	D1	2731342	    Monodnaviria
  0.10	107	0	K	2732092	      Shotokuvirae
  0.10	107	0	P	2732415	        Cossaviricota
  0.10	107	0	C	2732422	          Quintoviricetes
  0.10	107	0	O	2732534	            Piccovirales
  0.10	107	3	F	10780	              Parvoviridae
  0.08	82	0	F1	40120	                Densovirinae
  0.07	73	0	G	136466	                  Brevidensovirus
  0.07	73	0	G1	351053	                    unclassified Brevidensovirus
  0.07	73	73	S	945962	                      Mosquito densovirus BR/07
  0.01	9	0	G	40122	                  Iteradensovirus
  0.01	8	0	G1	364412	                    unclassified Iteravirus
  0.01	8	8	S	1469956	                      Danaus plexippus plexippus iteravirus
  0.00	1	0	S	1513211	                    Lepidopteran iteradensovirus 2
  0.00	1	1	S1	1217821	                      Sibine fusca densovirus
  0.02	22	0	F1	2732887	                Hamaparvovirinae
  0.02	22	0	G	2733230	                  Brevihamaparvovirus
  0.02	22	2	S	2748961	                    Dipteran brevihamaparvovirus 1
  0.01	16	0	S1	35338	                      Aedes albopictus densovirus
  0.01	16	16	S2	1513196	                        Aedes aegypti densovirus 2
  0.00	4	4	S1	487311	                      Anopheles gambiae densovirus
  0.01	9	0	D1	2731341	    Duplodnaviria
  0.01	9	0	K	2731360	      Heunggongvirae
  0.00	5	0	P	2731618	        Uroviricota
  0.00	5	0	C	2731619	          Caudoviricetes
  0.00	5	0	O	28883	            Caudovirales
  0.00	3	0	F	10699	              Siphoviridae
  0.00	3	0	G	2560142	                Gorganvirus
  0.00	3	0	S	2560650	                  Gorganvirus isfahan
  0.00	3	3	S1	1969841	                    Proteus phage VB_PmiS-Isfahan
  0.00	2	0	F	10662	              Myoviridae
  0.00	2	0	G	2843389	                Haloferacalesvirus
  0.00	2	0	G1	2852399	                  unclassified Haloferacalesvirus
  0.00	2	2	S	1262527	                    Halovirus HSTV-2
  0.00	4	0	P	2731361	        Peploviricota
  0.00	4	0	C	2731363	          Herviviricetes
  0.00	4	0	O	548681	            Herpesvirales
  0.00	4	0	F	10292	              Herpesviridae
  0.00	4	0	F1	10357	                Betaherpesvirinae
  0.00	4	0	G	10358	                  Cytomegalovirus
  0.00	4	4	S	10359	                    Human betaherpesvirus 5
 15.85	16910	1545	R1	131567	  cellular organisms
 13.54	14448	0	D	2759	    Eukaryota
 13.54	14448	0	D1	33154	      Opisthokonta
 13.54	14448	0	K	33208	        Metazoa
