20.98	16017	0	C3	1437010	                                          Boreoeutheria
20.98	16017	0	C4	314146	                                            Euarchontoglires
20.98	16017	0	O	9443	                                              Primates
20.98	16017	0	O1	376913	                                                Haplorrhini
20.98	16017	0	O2	314293	                                                  Simiiformes
20.98	16017	0	O3	9526	                                                    Catarrhini
20.98	16017	0	O4	314295	                                                      Hominoidea
20.98	16017	0	F	9604	                                                        Hominidae
20.98	16017	0	F1	207598	                                                          Homininae
20.98	16017	0	G	9605	                                                            Homo
20.98	16017	16017	S	9606	                                                              Homo sapiens
4.84	3695	0	D	2	    Bacteria
4.55	3471	0	P	1224	      Proteobacteria
4.53	3456	0	C	1236	        Gammaproteobacteria
4.44	3387	0	O	91347	          Enterobacterales
4.40	3356	0	F	543	            Enterobacteriaceae
3.35	2560	0	G	561	              Escherichia
3.35	2560	2560	S	562	                Escherichia coli
1.04	796	0	F1	2890311	              Klebsiella/Raoultella group
1.04	796	0	G	570	                Klebsiella
1.04	796	796	S	573	                  Klebsiella pneumoniae
0.04	31	0	F	1903411	            Yersiniaceae
0.04	31	0	G	613	              Serratia
0.04	31	31	S	47917	                Serratia fonticola
0.06	47	0	O	135625	          Pasteurellales
0.06	47	0	F	712	            Pasteurellaceae
0.06	47	0	G	292486	              Avibacterium
0.06	47	47	S	728	                Avibacterium paragallinarum
0.03	21	0	O	118969	          Legionellales
0.03	21	0	F	118968	            Coxiellaceae
0.03	21	0	G	59195	              Rickettsiella
0.03	21	21	S	2856608	                Rickettsiella endosymbiont of Dermanyssus gallinae
0.02	15	0	C	28211	        Alphaproteobacteria
0.02	15	0	O	204455	          Rhodobacterales
0.02	15	0	F	31989	            Rhodobacteraceae
0.02	15	0	G	1653176	              Cereibacter
0.02	15	15	S	1063	                Cereibacter sphaeroides
0.29	223	0	D1	1783272	      Terrabacteria group
0.27	206	0	P	201174	        Actinobacteria
0.27	206	0	C	1760	          Actinomycetia
0.14	109	0	O	85011	            Streptomycetales
0.14	109	0	F	2062	              Streptomycetaceae
0.14	109	0	G	1883	                Streptomyces
0.10	74	74	S	54571	                  Streptomyces venezuelae
0.04	34	0	G1	2839105	                  Streptomyces violaceusniger group
0.04	34	34	S	92644	                    Streptomyces malaysiensis
0.13	97	0	O	85006	            Micrococcales
0.13	97	0	F	1331736	              Ruaniaceae
0.13	97	0	G	626119	                Ruania
0.13	97	97	S	2603206	                  Ruania zhangjianzhongii
0.02	16	0	P	1239	        Firmicutes
0.02	16	0	C	91061	          Bacilli
0.02	16	0	O	1385	            Bacillales
0.02	16	0	F	90964	              Staphylococcaceae
0.02	16	0	G	227979	                Jeotgalicoccus
0.02	16	0	G1	2630462	                  unclassified Jeotgalicoccus
0.02	16	16	S	946435	                    Jeotgalicoccus sp. ATCC 8456
